ISBN,integer_isbn,Title,Author,YearOfPublication,Publisher,ImageURLS,ImageURLM,ImageURLL
0345435168,405,open house (oprah's book club (paperback)),elizabeth berg,2001,ballantine books,http://images.amazon.com/images/P/0345435168.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345435168.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345435168.01.LZZZZZZZ.jpg
0375412824,406,the dive from clausen's pier (alex awards),ann packer,2002,knopf,http://images.amazon.com/images/P/0375412824.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375412824.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375412824.01.LZZZZZZZ.jpg
0375703063,407,a virtuous woman (oprah's book club (paperback)),kaye gibbons,1997,vintage books,http://images.amazon.com/images/P/0375703063.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375703063.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375703063.01.LZZZZZZZ.jpg
0385420161,408,"like water for chocolate: a novel in monthly installments, with recipes, romances, and home remedies",laura esquivel,1992,doubleday books,http://images.amazon.com/images/P/0385420161.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385420161.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385420161.01.LZZZZZZZ.jpg
0385424736,409,the rainmaker,john grisham,1995,doubleday books,http://images.amazon.com/images/P/0385424736.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385424736.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385424736.01.LZZZZZZZ.jpg
0399149155,410,q is for quarry,sue grafton,2002,putnam publishing group,http://images.amazon.com/images/P/0399149155.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399149155.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399149155.01.LZZZZZZZ.jpg
0425192725,411,q is for quarry,sue grafton,2003,berkley publishing group,http://images.amazon.com/images/P/0425192725.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425192725.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425192725.01.LZZZZZZZ.jpg
0452260116,412,song of solomon (oprah's book club (paperback)),toni morrison,1987,plume books,http://images.amazon.com/images/P/0452260116.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452260116.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452260116.01.LZZZZZZZ.jpg
0553280414,413,a separate peace,john knowles,1985,bantam books,http://images.amazon.com/images/P/0553280414.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280414.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280414.01.LZZZZZZZ.jpg
0553580221,414,false memory,dean r. koontz,2000,bantam books,http://images.amazon.com/images/P/0553580221.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553580221.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553580221.01.LZZZZZZZ.jpg
0679723161,415,lolita (vintage international),vladimir nabokov,1989,vintage,http://images.amazon.com/images/P/0679723161.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679723161.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679723161.01.LZZZZZZZ.jpg
0743211383,416,dreamcatcher,stephen king,2001,scribner,http://images.amazon.com/images/P/0743211383.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743211383.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743211383.01.LZZZZZZZ.jpg
0743225406,417,the shipping news : a novel,annie proulx,2001,scribner,http://images.amazon.com/images/P/0743225406.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743225406.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743225406.01.LZZZZZZZ.jpg
0743467523,418,dreamcatcher,stephen king,2003,pocket,http://images.amazon.com/images/P/0743467523.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743467523.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743467523.01.LZZZZZZZ.jpg
1592400876,419,"eats, shoots &amp; leaves: the zero tolerance approach to punctuation",lynne truss,2004,gotham books,http://images.amazon.com/images/P/1592400876.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1592400876.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1592400876.01.LZZZZZZZ.jpg
0312421273,420,the corrections: a novel,jonathan franzen,2002,picador usa,http://images.amazon.com/images/P/0312421273.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312421273.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312421273.01.LZZZZZZZ.jpg
0312980159,421,fast women,jennifer crusie,2002,st. martin's press,http://images.amazon.com/images/P/0312980159.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312980159.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312980159.01.LZZZZZZZ.jpg
0316182540,422,white oleander : a novel,janet fitch,2001,"little, brown",http://images.amazon.com/images/P/0316182540.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316182540.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316182540.01.LZZZZZZZ.jpg
0316777722,423,me talk pretty one day,david sedaris,2000,"little, brown",http://images.amazon.com/images/P/0316777722.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316777722.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316777722.01.LZZZZZZZ.jpg
0316789089,424,the pilot's wife : a novel tag: author of the weight of water (oprah's book club (hardcover)),anita shreve,1999,"little, brown",http://images.amazon.com/images/P/0316789089.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316789089.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316789089.01.LZZZZZZZ.jpg
0316969680,425,the beach house,james patterson,2002,"little, brown",http://images.amazon.com/images/P/0316969680.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316969680.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316969680.01.LZZZZZZZ.jpg
0345348036,426,the princess bride: s morgenstern's classic tale of true love and high adventure,william goldman,1987,del rey,http://images.amazon.com/images/P/0345348036.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345348036.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345348036.01.LZZZZZZZ.jpg
0375703861,427,white teeth: a novel,zadie smith,2001,vintage books usa,http://images.amazon.com/images/P/0375703861.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375703861.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375703861.01.LZZZZZZZ.jpg
0385503954,428,atonement: a novel,ian mcewan,2002,nan a. talese,http://images.amazon.com/images/P/0385503954.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385503954.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385503954.01.LZZZZZZZ.jpg
0399150897,429,blow fly: a scarpetta novel,patricia cornwell,2003,putnam publishing group,http://images.amazon.com/images/P/0399150897.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399150897.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399150897.01.LZZZZZZZ.jpg
042516098X,430,hornet's nest,patricia daniels cornwell,1998,berkley publishing group,http://images.amazon.com/images/P/042516098X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042516098X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042516098X.01.LZZZZZZZ.jpg
0441304834,431,guilty pleasures (anita blake vampire hunter (paperback)),laurell k. hamilton,1995,ace books,http://images.amazon.com/images/P/0441304834.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441304834.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441304834.01.LZZZZZZZ.jpg
0446516538,432,slow waltz in cedar bend,robert james waller,1993,warner books,http://images.amazon.com/images/P/0446516538.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446516538.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446516538.01.LZZZZZZZ.jpg
0446607711,433,the simple truth,david baldacci,1999,warner books,http://images.amazon.com/images/P/0446607711.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446607711.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446607711.01.LZZZZZZZ.jpg
0451203895,434,4 blondes,candace bushnell,2002,signet book,http://images.amazon.com/images/P/0451203895.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451203895.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451203895.01.LZZZZZZZ.jpg
0525947647,435,lies and the lying liars who tell them: a fair and balanced look at the right,al franken,2003,dutton books,http://images.amazon.com/images/P/0525947647.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525947647.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg
0671004573,436,before i say good-bye,mary higgins clark,2001,pocket,http://images.amazon.com/images/P/0671004573.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg
0671042262,437,the blue nowhere : a novel,jeffery deaver,2002,pocket,http://images.amazon.com/images/P/0671042262.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671042262.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671042262.01.LZZZZZZZ.jpg
0671758896,438,"loves music, loves to dance",mary higgins clark,1992,pocket,http://images.amazon.com/images/P/0671758896.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671758896.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671758896.01.LZZZZZZZ.jpg
0679444815,439,timeline,michael crichton,1999,alfred a. knopf,http://images.amazon.com/images/P/0679444815.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679444815.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679444815.01.LZZZZZZZ.jpg
0689817851,440,go ask alice,anonymous,1998,simon pulse,http://images.amazon.com/images/P/0689817851.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689817851.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689817851.01.LZZZZZZZ.jpg
0802130208,441,a confederacy of dunces (evergreen book),john kennedy toole,1987,grove press,http://images.amazon.com/images/P/0802130208.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0802130208.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0802130208.01.LZZZZZZZ.jpg
0060096195,442,the boy next door,meggin cabot,2002,avon trade,http://images.amazon.com/images/P/0060096195.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060096195.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060096195.01.LZZZZZZZ.jpg
006016848X,443,"men are from mars, women are from venus: a practical guide for improving communication and getting what you want in your relationships",john gray,1992,harpercollins publishers,http://images.amazon.com/images/P/006016848X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006016848X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006016848X.01.LZZZZZZZ.jpg
0060175400,444,the poisonwood bible,barbara kingsolver,1999,harpercollins,http://images.amazon.com/images/P/0060175400.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060175400.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060175400.01.LZZZZZZZ.jpg
0060916508,445,their eyes were watching god: a novel,zora neale hurston,1990,perennial,http://images.amazon.com/images/P/0060916508.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060916508.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060916508.01.LZZZZZZZ.jpg
006099486X,446,"the professor and the madman: a tale of murder, insanity, and the making of the oxford english dictionary",simon winchester,1999,perennial,http://images.amazon.com/images/P/006099486X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006099486X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006099486X.01.LZZZZZZZ.jpg
0061015725,447,prey,michael crichton,2003,avon books,http://images.amazon.com/images/P/0061015725.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061015725.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061015725.01.LZZZZZZZ.jpg
0156628708,448,mrs dalloway,virginia woolf,1990,harvest books,http://images.amazon.com/images/P/0156628708.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156628708.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156628708.01.LZZZZZZZ.jpg
0345402871,449,airframe,michael crichton,1997,ballantine books,http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
0345446860,450,back when we were grownups : a novel (ballantine reader's circle),anne tyler,2002,ballantine books,http://images.amazon.com/images/P/0345446860.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345446860.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345446860.01.LZZZZZZZ.jpg
0345465083,451,seabiscuit,laura hillenbrand,2003,ballantine books,http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg
0375502238,452,blessings,anna quindlen,2002,random house,http://images.amazon.com/images/P/0375502238.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375502238.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375502238.01.LZZZZZZZ.jpg
0380012863,453,jonathan livingston seagull,richard bach,1976,avon,http://images.amazon.com/images/P/0380012863.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380012863.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380012863.01.LZZZZZZZ.jpg
038529929X,454,hannibal,thomas harris,1999,del sol press,http://images.amazon.com/images/P/038529929X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038529929X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038529929X.01.LZZZZZZZ.jpg
0385335830,455,diary of a mad bride (summer display opportunity),laura wolf,2002,delta,http://images.amazon.com/images/P/0385335830.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335830.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335830.01.LZZZZZZZ.jpg
039592720X,456,interpreter of maladies,jhumpa lahiri,1999,houghton mifflin co,http://images.amazon.com/images/P/039592720X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039592720X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039592720X.01.LZZZZZZZ.jpg
0425152251,457,sophie's world: a novel about the history of philosophy,jostein gaarder,1996,berkley publishing group,http://images.amazon.com/images/P/0425152251.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425152251.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425152251.01.LZZZZZZZ.jpg
0440223202,458,evening class,maeve binchy,1998,dell publishing company,http://images.amazon.com/images/P/0440223202.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440223202.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440223202.01.LZZZZZZZ.jpg
0440224624,459,the loop,nicholas evans,1999,dell publishing company,http://images.amazon.com/images/P/0440224624.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224624.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224624.01.LZZZZZZZ.jpg
0446394521,460,daisy fay and the miracle man,fannie flagg,1992,warner books,http://images.amazon.com/images/P/0446394521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446394521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446394521.01.LZZZZZZZ.jpg
0446679593,461,suzanne's diary for nicholas,james patterson,2002,warner books,http://images.amazon.com/images/P/0446679593.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446679593.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446679593.01.LZZZZZZZ.jpg
0451202341,462,back roads,tawni o'dell,2001,signet book,http://images.amazon.com/images/P/0451202341.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451202341.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451202341.01.LZZZZZZZ.jpg
0553582127,463,the search,iris johansen,2001,bantam books,http://images.amazon.com/images/P/0553582127.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582127.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582127.01.LZZZZZZZ.jpg
0553582135,464,final target,iris johansen,2002,bantam books,http://images.amazon.com/images/P/0553582135.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582135.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582135.01.LZZZZZZZ.jpg
0553582747,465,from the corner of his eye,dean koontz,2001,bantam books,http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
0671028375,466,fatal voyage,kathy reichs,2002,pocket,http://images.amazon.com/images/P/0671028375.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671028375.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671028375.01.LZZZZZZZ.jpg
0671708635,467,seven habits of highly effective people,stephen r. covey,1990,free press,http://images.amazon.com/images/P/0671708635.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671708635.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671708635.01.LZZZZZZZ.jpg
0743203631,468,gap creek: the story of a marriage,robert morgan,2000,touchstone,http://images.amazon.com/images/P/0743203631.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743203631.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743203631.01.LZZZZZZZ.jpg
0743206045,469,daddy's little girl,mary higgins clark,2002,simon &amp; schuster,http://images.amazon.com/images/P/0743206045.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743206045.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743206045.01.LZZZZZZZ.jpg
1559029838,470,call of the wild,jack london,0,selldowns/no more orders,http://images.amazon.com/images/P/1559029838.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1559029838.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1559029838.01.LZZZZZZZ.jpg
1878424319,471,the four agreements: a practical guide to personal freedom,don miguel ruiz,1997,amber-allen publishing,http://images.amazon.com/images/P/1878424319.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1878424319.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1878424319.01.LZZZZZZZ.jpg
0142001805,472,the eyre affair: a novel,jasper fforde,2003,penguin books,http://images.amazon.com/images/P/0142001805.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142001805.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142001805.01.LZZZZZZZ.jpg
0312995423,473,digital fortress : a thriller,dan brown,2003,st. martin's press,http://images.amazon.com/images/P/0312995423.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312995423.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312995423.01.LZZZZZZZ.jpg
0316602906,474,the big bad wolf: a novel,james patterson,2003,"little, brown",http://images.amazon.com/images/P/0316602906.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316602906.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316602906.01.LZZZZZZZ.jpg
0316666009,475,1st to die: a novel,james patterson,2001,little brown and company,http://images.amazon.com/images/P/0316666009.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316666009.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316666009.01.LZZZZZZZ.jpg
0345424719,476,a widow for one year,john irving,1999,ballantine books,http://images.amazon.com/images/P/0345424719.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345424719.01.LZZZZZZZ.jpg
0345441036,477,black house,stephen king,2002,ballantine books,http://images.amazon.com/images/P/0345441036.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345441036.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345441036.01.LZZZZZZZ.jpg
0425143325,478,without remorse,tom clancy,2004,berkley publishing group,http://images.amazon.com/images/P/0425143325.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425143325.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425143325.01.LZZZZZZZ.jpg
043936213X,479,harry potter and the sorcerer's stone (book 1),j. k. rowling,2001,scholastic,http://images.amazon.com/images/P/043936213X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/043936213X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/043936213X.01.LZZZZZZZ.jpg
0441569595,480,neuromancer (remembering tomorrow),william gibson,1995,ace books,http://images.amazon.com/images/P/0441569595.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441569595.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441569595.01.LZZZZZZZ.jpg
0449006522,481,manhattan hunt club,john saul,2002,ballantine books,http://images.amazon.com/images/P/0449006522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449006522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449006522.01.LZZZZZZZ.jpg
0449912558,482,the sparrow,mary doria russell,1997,fawcett books,http://images.amazon.com/images/P/0449912558.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449912558.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449912558.01.LZZZZZZZ.jpg
0451163966,483,one flew over the cuckoo's nest,ken kesey,1989,signet book,http://images.amazon.com/images/P/0451163966.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451163966.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451163966.01.LZZZZZZZ.jpg
0452283205,484,falling angels,tracy chevalier,2002,plume books,http://images.amazon.com/images/P/0452283205.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452283205.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452283205.01.LZZZZZZZ.jpg
0553574574,485,beach music,pat conroy,1996,bantam books,http://images.amazon.com/images/P/0553574574.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553574574.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553574574.01.LZZZZZZZ.jpg
0553582526,486,dust to dust,tami hoag,2002,bantam,http://images.amazon.com/images/P/0553582526.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582526.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582526.01.LZZZZZZZ.jpg
0671014196,487,the summerhouse,jude deveraux,2002,pocket,http://images.amazon.com/images/P/0671014196.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671014196.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671014196.01.LZZZZZZZ.jpg
0671894455,488,forrest gump (movie tie in),winston groom,1994,pocket,http://images.amazon.com/images/P/0671894455.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671894455.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671894455.01.LZZZZZZZ.jpg
0894805770,489,what to expect the first year,arlene eisenberg,1989,workman publishing,http://images.amazon.com/images/P/0894805770.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0894805770.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0894805770.01.LZZZZZZZ.jpg
1573225517,490,high fidelity,nick hornby,1996,riverhead books,http://images.amazon.com/images/P/1573225517.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573225517.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573225517.01.LZZZZZZZ.jpg
0316781142,491,the last time they met : a novel,anita shreve,2001,"little, brown",http://images.amazon.com/images/P/0316781142.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316781142.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316781142.01.LZZZZZZZ.jpg
0345384369,492,intensity,dean koontz,1996,ballantine books,http://images.amazon.com/images/P/0345384369.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345384369.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345384369.01.LZZZZZZZ.jpg
034541389X,493,flesh and blood,jonathan kellerman,2002,ballantine books,http://images.amazon.com/images/P/034541389X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/034541389X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/034541389X.01.LZZZZZZZ.jpg
038082101X,494,daughter of fortune: a novel,isabel allende,2001,harpertorch,http://images.amazon.com/images/P/038082101X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038082101X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038082101X.01.LZZZZZZZ.jpg
0446606324,495,the winner,david baldacci,1998,warner vision,http://images.amazon.com/images/P/0446606324.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446606324.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446606324.01.LZZZZZZZ.jpg
0446610100,496,wish you well,david baldacci,2001,warner books,http://images.amazon.com/images/P/0446610100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610100.01.LZZZZZZZ.jpg
0451203771,497,scarlet feather,maeve binchy,2002,signet book,http://images.amazon.com/images/P/0451203771.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451203771.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451203771.01.LZZZZZZZ.jpg
0515132187,498,the villa,nora roberts,2002,jove books,http://images.amazon.com/images/P/0515132187.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515132187.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515132187.01.LZZZZZZZ.jpg
0515133973,499,midnight bayou,nora roberts,2004,jove books,http://images.amazon.com/images/P/0515133973.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515133973.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515133973.01.LZZZZZZZ.jpg
0515135062,500,three fates,nora roberts,2004,jove books,http://images.amazon.com/images/P/0515135062.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515135062.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515135062.01.LZZZZZZZ.jpg
0553208845,501,siddhartha,hermann hesse,1981,bantam classics,http://images.amazon.com/images/P/0553208845.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553208845.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553208845.01.LZZZZZZZ.jpg
0609610597,502,"the shelters of stone (earth's children series, no 5)",jean m. auel,2002,crown,http://images.amazon.com/images/P/0609610597.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609610597.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609610597.01.LZZZZZZZ.jpg
0671004107,503,contact,carl sagan,1997,pocket,http://images.amazon.com/images/P/0671004107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004107.01.LZZZZZZZ.jpg
0684833395,504,catch 22,joseph heller,1996,simon &amp; schuster,http://images.amazon.com/images/P/0684833395.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684833395.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684833395.01.LZZZZZZZ.jpg
0805062971,505,fight club,chuck palahniuk,1999,owl books,http://images.amazon.com/images/P/0805062971.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805062971.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805062971.01.LZZZZZZZ.jpg
1400032717,506,the curious incident of the dog in the night-time (vintage contemporaries),mark haddon,2004,vintage,http://images.amazon.com/images/P/1400032717.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400032717.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400032717.01.LZZZZZZZ.jpg
